Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,RSI_14,SMA_20,Price_SMA_Ratio,MACD_Line,MACD_Signal,MACD_Hist,Volatility_20,Sentiment_Avg,Positive_Ratio,Negative_Ratio,Article_Count,earnings_flag,product_launch_flag,ceo_change_flag,merger_flag,dividend_flag,Next_Close,Price_Change_Pct,Label
2026-02-09 00:00:00-05:00,277.6541982366954,277.9439398399519,271.4499228389202,274.3672,44623400,0.26,0.0,AAPL,50.0,265.4055,1.0338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,273.4280700683594,-0.3423,0
2026-02-10 00:00:00-05:00,274.6369782150198,275.11651686144285,272.68876099546605,273.4281,34376900,0.0,0.0,AAPL,50.0,265.4055,1.0302,-0.0749,-0.015,-0.0599,0.0,0.0,0.0,0.0,0,0,0,0,0,0,275.24639892578125,0.665,1
2026-02-11 00:00:00-05:00,274.44714753122867,279.92208361183503,274.1973776592452,275.2464,51931300,0.0,0.0,AAPL,50.0,265.4055,1.0371,0.0123,-0.0095,0.0218,0.0,0.0,0.0,0.0,0,0,0,0,0,0,261.4891052246094,-4.9982,0
2026-02-12 00:00:00-05:00,275.3363333447182,275.46621856633783,259.94051360693726,261.4891,81077200,0.0,0.0,AAPL,50.0,265.4055,0.9852,-1.017,-0.211,-0.806,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255.5445556640625,-2.2733,0
2026-02-13 00:00:00-05:00,261.7688319830923,261.9886306947134,255.21485759663088,255.5446,56290700,0.0,0.0,AAPL,50.0,265.4055,0.9628,-2.286,-0.626,-1.66,0.0,0.0,0.0,0.0,0,0,0,0,0,0,263.6371154785156,3.1668,1
2026-02-17 00:00:00-05:00,257.8124646511843,266.0449008431299,255.30478047881587,263.6371,58469100,0.0,0.0,AAPL,50.0,265.4055,0.9933,-2.6086,-1.0225,-1.5861,0.0,0.0,0.0,0.0,0,0,0,0,0,0,264.106689453125,0.1781,1
2026-02-18 00:00:00-05:00,263.35737977838915,266.57441720150126,262.20844437502524,264.1067,34203300,0.0,0.0,AAPL,50.0,265.4055,0.9951,-2.7942,-1.3769,-1.4173,0.0,0.0,0.0,0.0,0,0,0,0,0,0,260.3401184082031,-1.4262,0
2026-02-19 00:00:00-05:00,262.35827847824623,264.2365527856389,259.81060750150084,260.3401,30845300,0.0,0.0,AAPL,50.0,265.4055,0.9809,-3.2082,-1.7431,-1.4651,0.0,0.0,0.0,0.0,0,0,0,0,0,0,264.3364562988281,1.535,1
2026-02-20 00:00:00-05:00,258.73163460792017,264.5063132392292,257.9223826043077,264.3365,42070500,0.0,0.0,AAPL,50.0,265.4055,0.996,-3.1773,-2.03,-1.1473,0.0,0.0,0.0,0.0,0,0,0,0,0,0,265.9349670410156,0.6047,1
2026-02-23 00:00:00-05:00,263.24744081710827,269.1819753311392,263.13755670993424,265.935,37308200,0.0,0.0,AAPL,50.0,265.4055,1.002,-2.9893,-2.2218,-0.7674,0.0,0.0,0.0,0.0,0,0,0,0,0,0,271.8895263671875,2.2391,1
2026-02-24 00:00:00-05:00,267.61343657617186,274.6369951599546,267.46358073991865,271.8895,47014600,0.0,0.0,AAPL,50.0,265.4055,1.0244,-2.3329,-2.2441,-0.0889,0.0,0.0,0.0,0.0,0,0,0,0,0,0,273.97760009765625,0.768,1
2026-02-25 00:00:00-05:00,271.5298429675081,274.6869380517792,270.8005039088116,273.9776,33714300,0.0,0.0,AAPL,50.0,265.4055,1.0323,-1.6255,-2.1203,0.4948,0.0,0.0,0.0,0.0,0,0,0,0,0,0,272.6987609863281,-0.4668,0
2026-02-26 00:00:00-05:00,274.6969199809464,275.8558253670768,270.55071567552415,272.6988,32345100,0.0,0.0,AAPL,50.0,265.4055,1.0275,-1.1548,-1.9272,0.7725,0.0,0.0,0.0,0.0,0,0,0,0,0,0,263.93682861328125,-3.213,0
2026-02-27 00:00:00-05:00,272.5588900215503,272.5588900215503,262.6480379442022,263.9368,72366500,0.0,0.0,AAPL,41.08,265.4055,0.9945,-1.4718,-1.8361,0.3644,0.0,0.0,0.0,0.0,0,0,0,0,0,0,264.476318359375,0.2044,1
2026-03-02 00:00:00-05:00,262.16844722421786,266.2846497598317,259.960490133898,264.4763,41827900,0.0,0.0,AAPL,41.6187,265.4055,0.9965,-1.6603,-1.801,0.1407,0.0,0.0,0.0,0.0,0,0,0,0,0,0,263.5072326660156,-0.3664,0
2026-03-03 00:00:00-05:00,263.23749216234586,265.31556422164516,259.8905695547566,263.5072,38568900,0.0,0.0,AAPL,41.5976,265.4055,0.9928,-1.8664,-1.8141,-0.0524,0.0,0.0,0.0,0.0,0,0,0,0,0,0,262.2783508300781,-0.4664,0
2026-03-04 00:00:00-05:00,264.4063951364299,265.9050144519466,261.179387723623,262.2784,39803100,0.0,0.0,AAPL,38.906,265.4055,0.9882,-2.1046,-1.8722,-0.2325,0.0,0.0,0.0,0.0,0,0,0,0,0,0,260.0504150390625,-0.8495,0
2026-03-05 00:00:00-05:00,260.54995479568396,261.3192350446657,257.01320478174756,260.0504,49658600,0.0,0.0,AAPL,48.4668,265.4055,0.9798,-2.445,-1.9868,-0.4583,0.0,0.0,0.0,0.0,0,0,0,0,0,0,257.2229919433594,-1.0873,0
2026-03-06 00:00:00-05:00,258.39192833924307,258.53178361058343,254.13584003818684,257.223,41120000,0.0,0.0,AAPL,51.916,265.4055,0.9692,-2.9094,-2.1713,-0.7381,0.0,0.0,0.0,0.0,0,0,0,0,0,0,259.6407775878906,0.94,1
2026-03-09 00:00:00-04:00,255.45463216869055,260.9095975388004,253.44647267699952,259.6408,38218500,0.0,0.0,AAPL,44.7589,265.4055,0.9783,-3.0472,-2.3465,-0.7007,0.0,0.0,0.0,0.0,0,0,0,0,0,0,260.58990478515625,0.3656,1
2026-03-10 00:00:00-04:00,257.4128391437035,262.2384104290217,256.71350175461305,260.5899,30590800,0.0,0.0,AAPL,45.4451,264.7166,0.9844,-3.0447,-2.4861,-0.5586,29.0943,0.0,0.0,0.0,0,0,0,0,0,0,260.5699157714844,-0.0077,0
2026-03-11 00:00:00-04:00,260.8496568052655,261.888707997661,259.3110658747261,260.5699,26218900,0.0,0.0,AAPL,50.3296,264.0737,0.9867,-3.0097,-2.5908,-0.4189,29.1032,0.0,0.0,0.0,0,0,0,0,0,0,255.52456665039062,-1.9363,0
2026-03-12 00:00:00-04:00,258.4219063383753,258.71164792954545,253.94601921584928,255.5246,40794000,0.0,0.0,AAPL,37.7296,263.0876,0.9713,-3.3504,-2.7428,-0.6077,29.5107,0.0,0.0,0.0,0,0,0,0,0,0,249.8897705078125,-2.2052,0
2026-03-13 00:00:00-04:00,255.24483747003174,256.0940459350445,249.29033192864068,249.8898,36930000,0.0,0.0,AAPL,29.915,262.5076,0.9519,-4.0287,-2.9999,-1.0287,25.0026,0.0,0.0,0.0,0,0,0,0,0,0,252.58729553222656,1.0795,1
2026-03-16 00:00:00-04:00,251.87794235419486,253.6563027081548,249.6499992581203,252.5873,32074200,0.0,0.0,AAPL,23.6928,262.3598,0.9628,-4.299,-3.2598,-1.0392,24.1597,0.0,0.0,0.0,0,0,0,0,0,0,253.99598693847656,0.5577,1
2026-03-17 00:00:00-04:00,252.72716690012706,254.89516767044782,251.94787083452104,253.996,32361600,0.0,0.0,AAPL,22.253,261.8777,0.9699,-4.3494,-3.4777,-0.8717,21.143,0.0,0.0,0.0,0,0,0,0,0,0,249.70994567871094,-1.6874,0
2026-03-18 00:00:00-04:00,252.3974721128864,254.70534343896443,248.7708084606242,249.7099,35757900,0.0,0.0,AAPL,20.5378,261.1579,0.9562,-4.6813,-3.7184,-0.9629,21.7549,0.0,0.0,0.0,0,0,0,0,0,0,248.73085021972656,-0.3921,0
2026-03-19 00:00:00-04:00,249.17043241392184,251.5982036354298,247.0723745163624,248.7309,34864100,0.0,0.0,AAPL,25.6558,260.5774,0.9545,-4.966,-3.9679,-0.9981,21.3321,0.0,0.0,0.0,0,0,0,0,0,0,247.76173400878906,-0.3896,0
2026-03-20 00:00:00-04:00,247.7517334570195,248.97061168291066,245.77356028907465,247.7617,88331100,0.0,0.0,AAPL,23.6037,259.7487,0.9539,-5.2098,-4.2163,-0.9935,20.302,0.0,0.0,0.0,0,0,0,0,0,0,251.25851440429688,1.4113,1
2026-03-23 00:00:00-04:00,253.73622734962268,254.3656523266213,250.0496214753341,251.2585,40546100,0.0,0.0,AAPL,32.0865,259.0149,0.9701,-5.0625,-4.3855,-0.677,20.9776,0.0,0.0,0.0,0,0,0,0,0,0,251.4083709716797,0.0596,1
2026-03-24 00:00:00-04:00,250.1195650925759,254.5954370944537,249.32029842391177,251.4084,45152300,0.0,0.0,AAPL,33.5848,257.9908,0.9745,-4.8774,-4.4839,-0.3935,18.8296,0.0,0.0,0.0,0,0,0,0,0,0,252.38746643066406,0.3894,1
2026-03-25 00:00:00-04:00,253.86611511385965,254.76528059453105,251.3684162845015,252.3875,28476700,0.0,0.0,AAPL,37.9743,256.9113,0.9824,-4.5988,-4.5069,-0.0919,18.5686,0.0,0.0,0.0,0,0,0,0,0,0,252.6572265625,0.1069,1
2026-03-26 00:00:00-04:00,251.88793104116345,256.76344411909713,250.53918279672283,252.6572,41796700,0.0,0.0,AAPL,42.2094,255.9092,0.9873,-4.3065,-4.4668,0.1603,18.6539,0.0,0.0,0.0,0,0,0,0,0,0,248.57098388671875,-1.6173,0
2026-03-27 00:00:00-04:00,253.666280215245,255.2548282141602,247.8416601166152,248.571,47900000,0.0,0.0,AAPL,32.129,255.1409,0.9742,-4.3544,-4.4443,0.0899,16.1212,0.0,0.0,0.0,0,0,0,0,0,0,246.40298461914062,-0.8722,0
2026-03-30 00:00:00-04:00,249.83982057534305,250.63907198816298,245.28400520065438,246.403,39446200,0.0,0.0,AAPL,27.964,254.2373,0.9692,-4.5153,-4.4585,-0.0568,16.1322,0.0,0.0,0.0,0,0,0,0,0,0,253.55638122558594,2.9031,1
2026-03-31 00:00:00-04:00,247.6818040942864,255.24482803058763,246.87255213324852,253.5564,49598100,0.0,0.0,AAPL,41.0823,253.7397,0.9993,-4.0192,-4.3707,0.3514,19.8337,0.0,0.0,0.0,0,0,0,0,0,0,255.3946990966797,0.725,1
2026-04-01 00:00:00-04:00,253.8461228128272,255.94418062939917,253.096813183035,255.3947,40059400,0.0,0.0,AAPL,49.8202,253.3955,1.0079,-3.4381,-4.1842,0.746,20.059,0.0,0.0,0.0,0,0,0,0,0,0,255.68443298339844,0.1134,1
2026-04-02 00:00:00-04:00,253.96601496217014,255.89424639361263,250.4192795609811,255.6844,31289400,0.0,0.0,AAPL,59.4156,253.1772,1.0099,-2.9205,-3.9314,1.0109,19.8884,0.0,0.0,0.0,0,0,0,0,0,0,258.6217041015625,1.1488,1
2026-04-06 00:00:00-04:00,256.27389167390277,261.9186847371787,256.2239194053331,258.6217,29329900,0.0,0.0,AAPL,59.7293,253.2472,1.0212,-2.2474,-3.5946,1.3472,19.9659,0.0,0.0,0.0,0,0,0,0,0,0,253.26666259765625,-2.0706,0
2026-04-07 00:00:00-04:00,255.92421782448065,255.96418954301222,245.47383916108728,253.2667,62148000,0.0,0.0,AAPL,48.9568,252.9285,1.0013,-2.1216,-3.3,1.1784,20.989,0.0,0.0,0.0,0,0,0,0,0,0,258.66168212890625,2.1302,1
2026-04-08 00:00:00-04:00,258.2121146377317,259.51090582044134,256.29386854025813,258.6617,41032800,0.0,0.0,AAPL,62.41,252.8321,1.0231,-1.5685,-2.9537,1.3852,22.4122,0.0,0.0,0.0,0,0,0,0,0,0,260.2502136230469,0.6141,1
2026-04-09 00:00:00-04:00,258.7615948993736,260.879638597066,255.8342992320816,260.2502,28121600,0.0,0.0,AAPL,65.7042,252.8161,1.0294,-0.9906,-2.5611,1.5705,22.528,0.0,0.0,0.0,0,0,0,0,0,0,260.240234375,-0.0038,0
2026-04-10 00:00:00-04:00,259.7406946341393,261.94865175168746,258.78155637925676,260.2402,31291500,0.0,0.0,AAPL,67.4686,253.0519,1.0284,-0.5273,-2.1544,1.627,21.3338,0.0,0.0,0.0,0,0,0,0,0,0,258.96142578125,-0.4914,0
